
























































2018-07-11
dtsn&1000,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,null,null,null,null,null,null,null,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

dtsn&800,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,null,null,null,null,null,null,null,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

dtsn&500,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,null,null,null,null,null,null,null,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

dtsn&250,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,18727,43249,303324,2516,2517,3039,61380,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

dtsn&100,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,5436,2549,99524,840,393,1001,50633,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,


srwsn&1000,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,null,null,null,null,null,null,null,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

srwsn&800,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,263404,849841,1079424,4923,3253,7500,132965,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

srwsn&500,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,153985,496659,691056,2905,2054,4803,112951,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

srwsn&250,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,82228,176094,311904,1556,969,2170,101369,
0.05,62749,152201,319536,1178,935,2223,101340,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

srwsn&100,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,38996,73436,122544,730,563,855,587,
0.05,40087,80446,122832,752,644,857,1001,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,


stdp&1000,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,1586613,1468427,1590892,4036,909,8453,73300,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

stdp&800,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,1331621,1537962,1311336,3390,879,6966,63689,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

stdp&500,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,816842,971608,836636,2083,570,4441,5861,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

stdp&250,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,null,null,null,null,null,null,null,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

stdp&100,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,null,null,null,null,null,null,null,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,


2018-07-11
dtsn&1000,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,null,null,null,null,null,null,null,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
0.15,null,null,null,null,null,null,null,

dtsn&800,ack_size_sum,nack_size_sum,data_size_sum,ack_size_count,nack_size_count,data_size_count,time
0.0125,null,null,null,null,null,null,null,
0.05,null,null,null,null,null,null,null,
0.1,null,null,null,null,null,null,null,
0.125,null,null,null,null,null,null,null,
